Template name; Detection time (UTC); Number of channels; Channel list; Detection value; Threshold; Threshold type; Input threshold; Detection type
tempate_523; 2013-03-06T15:20:37.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.597775936126709; 0.8754122257232666; MAD; 5; corr
tempate_523; 2013-07-22T04:45:29.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.3894816637039185; 0.8393281102180481; MAD; 5; corr
tempate_397; 2013-11-14T22:20:28.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.158239483833313; 0.6097496151924133; MAD; 5; corr
tempate_279; 2012-01-24T13:44:58.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.7335864305496216; 1.2013745307922363; MAD; 5; corr
tempate_279; 2013-01-20T10:03:48.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -2.0930416584014893; 1.574790596961975; MAD; 5; corr
tempate_282; 2013-12-07T13:54:08.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.9678903818130493; 1.4644943475723267; MAD; 5; corr
tempate_288; 2012-07-16T21:12:13.500001Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.0828434228897095; 0.5830923318862915; MAD; 5; corr
tempate_412; 2013-08-16T16:17:48.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.8552364110946655; 1.3817566633224487; MAD; 5; corr
tempate_315; 2012-04-29T08:22:23.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.0758535861968994; 0.6052299737930298; MAD; 5; corr
tempate_282; 2012-01-30T02:08:01.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 2.014568328857422; 1.5585039854049683; MAD; 5; corr
tempate_335; 2013-12-09T23:23:12.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -2.454996109008789; 2.0321707725524902; MAD; 5; corr
tempate_523; 2013-01-30T03:20:35.500000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; 1.4167381525039673; 0.99724280834198; MAD; 5; corr
tempate_523; 2012-05-10T21:20:32.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.312258243560791; 0.900661826133728; MAD; 5; corr
tempate_173; 2012-10-14T12:24:04.000000Z; 3; [('PIG2', 'HHE'), ('PIG2', 'HHN'), ('PIG2', 'HHZ')]; -1.5972614288330078; 1.1931836605072021; MAD; 5; corr
